Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
0,180000;0,026623;0,000191;0,000000;0,009502
0,200000;0,053245;0,000381;0,000000;0,019005
0,220000;0,079868;0,000572;0,000000;0,028507
0,240000;0,106490;0,000763;0,000000;0,038010
0,260000;0,133113;0,000953;0,000000;0,047512
0,280000;0,159735;0,001144;0,000000;0,057014
0,300000;0,186358;0,001335;0,000000;0,066517
0,320000;0,212980;0,001525;0,000000;0,076019
0,340000;0,239603;0,001716;0,000000;0,085522
0,360000;0,266225;0,001907;0,000000;0,095024
0,380000;0,292848;0,002097;0,000000;0,104526
0,400000;0,319471;0,002288;0,000000;0,114029
0,420000;0,346093;0,002479;0,000000;0,123531
0,440000;0,372716;0,002670;0,000000;0,133034
0,460000;0,399338;0,002860;0,000000;0,142536
0,480000;0,425961;0,003051;0,000000;0,152038
0,500000;0,452583;0,003242;0,000000;0,161541
0,520000;0,479206;0,003432;0,000000;0,171043
0,540000;0,505828;0,003623;0,000000;0,180546
0,560000;0,532451;0,003814;0,000000;0,190048
0,580000;0,559073;0,004004;0,000000;0,199550
0,600000;0,585696;0,004195;0,000000;0,209053
0,620000;0,612319;0,004386;0,000000;0,218555
0,640000;0,638941;0,004576;0,000000;0,228057
0,660000;0,665564;0,004767;0,000000;0,237560
0,680000;0,692186;0,004958;0,000000;0,247062
0,700000;0,718809;0,005148;0,000000;0,256565
0,720000;0,745431;0,005339;0,000000;0,266067
0,740000;0,772054;0,005530;0,000000;0,275569
0,760000;0,798676;0,005720;0,000000;0,285072
0,780000;0,825299;0,005911;0,000000;0,294574
0,800000;0,851921;0,006102;0,000000;0,304077
0,820000;0,878544;0,006292;0,000000;0,313579
0,840000;0,905167;0,006483;0,000000;0,323081
0,860000;0,931789;0,006674;0,000000;0,332584
0,880000;0,958412;0,006865;0,000000;0,342086
0,900000;0,985034;0,007055;0,000000;0,351589
0,920000;1,011657;0,007246;0,000000;0,361091
0,940000;1,038279;0,007437;0,000000;0,370593
0,960000;1,064902;0,007627;0,000000;0,380096
0,980000;1,091524;0,007818;0,000000;0,389598
1,000000;1,118147;0,008009;0,000000;0,399101
1,020000;1,144769;0,008199;0,000000;0,408603
1,040000;1,171392;0,008390;0,000000;0,418105
1,060000;1,198015;0,008581;0,000000;0,427608
1,080000;1,224637;0,008771;0,000000;0,437110
1,100000;1,251260;0,008962;0,000000;0,446613
1,120000;1,277882;0,009153;0,000000;0,456115
1,140000;1,304505;0,009343;0,000000;0,465617
1,160000;1,331127;0,009534;0,000000;0,475120
1,180000;1,357750;0,009725;0,000000;0,484622
1,200000;1,384372;0,009915;0,000000;0,494125
1,220000;1,410995;0,010106;0,000000;0,503627
1,240000;1,437617;0,010297;0,000000;0,513129
1,260000;1,464240;0,010487;0,000000;0,522632
1,280000;1,490863;0,010678;0,000000;0,532134
1,300000;1,517485;0,010869;0,000000;0,541637
1,320000;1,544108;0,011059;0,000000;0,551139
1,340000;1,570730;0,011250;0,000000;0,560641
1,360000;1,597353;0,011441;0,000000;0,570144
1,380000;1,623975;0,011632;0,000000;0,579646
1,400000;1,650598;0,011822;0,000000;0,589149
1,420000;1,677220;0,012013;0,000000;0,598651
1,440000;1,703843;0,012204;0,000000;0,608153
1,460000;1,730465;0,012394;0,000000;0,617656
1,480000;1,757088;0,012585;0,000000;0,627158
1,500000;1,783711;0,012776;0,000000;0,636661
