Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
0,180000;0,015099;0,000244;0,000000;0,008365
0,200000;0,030199;0,000487;0,000000;0,016731
0,220000;0,045298;0,000731;0,000000;0,025096
0,240000;0,060398;0,000974;0,000000;0,033461
0,260000;0,075497;0,001218;0,000000;0,041827
0,280000;0,090597;0,001461;0,000000;0,050192
0,300000;0,105696;0,001705;0,000000;0,058557
0,320000;0,120796;0,001948;0,000000;0,066923
0,340000;0,135895;0,002192;0,000000;0,075288
0,360000;0,150995;0,002436;0,000000;0,083654
0,380000;0,166094;0,002679;0,000000;0,092019
0,400000;0,181194;0,002923;0,000000;0,100384
0,420000;0,196293;0,003166;0,000000;0,108750
0,440000;0,211393;0,003410;0,000000;0,117115
0,460000;0,226492;0,003653;0,000000;0,125480
0,480000;0,241591;0,003897;0,000000;0,133846
0,500000;0,256691;0,004141;0,000000;0,142211
0,520000;0,271790;0,004384;0,000000;0,150576
0,540000;0,286890;0,004628;0,000000;0,158942
0,560000;0,301989;0,004871;0,000000;0,167307
0,580000;0,317089;0,005115;0,000000;0,175672
0,600000;0,332188;0,005358;0,000000;0,184038
0,620000;0,347288;0,005602;0,000000;0,192403
0,640000;0,362387;0,005845;0,000000;0,200769
0,660000;0,377487;0,006089;0,000000;0,209134
0,680000;0,392586;0,006333;0,000000;0,217499
0,700000;0,407686;0,006576;0,000000;0,225865
0,720000;0,422785;0,006820;0,000000;0,234230
0,740000;0,437884;0,007063;0,000000;0,242595
0,760000;0,452984;0,007307;0,000000;0,250961
0,780000;0,468083;0,007550;0,000000;0,259326
0,800000;0,483183;0,007794;0,000000;0,267691
0,820000;0,498282;0,008038;0,000000;0,276057
0,840000;0,513382;0,008281;0,000000;0,284422
0,860000;0,528481;0,008525;0,000000;0,292787
0,880000;0,543581;0,008768;0,000000;0,301153
0,900000;0,558680;0,009012;0,000000;0,309518
0,920000;0,573780;0,009255;0,000000;0,317883
0,940000;0,588879;0,009499;0,000000;0,326249
0,960000;0,603979;0,009742;0,000000;0,334614
0,980000;0,619078;0,009986;0,000000;0,342980
1,000000;0,634178;0,010230;0,000000;0,351345
1,020000;0,649277;0,010473;0,000000;0,359710
1,040000;0,664376;0,010717;0,000000;0,368076
1,060000;0,679476;0,010960;0,000000;0,376441
1,080000;0,694575;0,011204;0,000000;0,384806
1,100000;0,709675;0,011447;0,000000;0,393172
1,120000;0,724774;0,011691;0,000000;0,401537
1,140000;0,739874;0,011935;0,000000;0,409902
1,160000;0,754973;0,012178;0,000000;0,418268
1,180000;0,770073;0,012422;0,000000;0,426633
1,200000;0,785172;0,012665;0,000000;0,434998
1,220000;0,800272;0,012909;0,000000;0,443364
1,240000;0,815371;0,013152;0,000000;0,451729
1,260000;0,830471;0,013396;0,000000;0,460094
1,280000;0,845570;0,013639;0,000000;0,468460
1,300000;0,860669;0,013883;0,000000;0,476825
1,320000;0,875769;0,014127;0,000000;0,485191
1,340000;0,890868;0,014370;0,000000;0,493556
1,360000;0,905968;0,014614;0,000000;0,501921
1,380000;0,921067;0,014857;0,000000;0,510287
1,400000;0,936167;0,015101;0,000000;0,518652
1,420000;0,951266;0,015344;0,000000;0,527017
1,440000;0,966366;0,015588;0,000000;0,535383
1,460000;0,981465;0,015831;0,000000;0,543748
1,480000;0,996565;0,016075;0,000000;0,552113
1,500000;1,011664;0,016319;0,000000;0,560479
1,520000;1,026764;0,016562;0,000000;0,568844
1,540000;1,041863;0,016806;0,000000;0,577209
1,560000;1,056963;0,017049;0,000000;0,585575
1,580000;1,072062;0,017293;0,000000;0,593940
1,600000;1,087161;0,017536;0,000000;0,602306
1,620000;1,102261;0,017780;0,000000;0,610671
1,640000;1,117360;0,018024;0,000000;0,619036
1,660000;1,132460;0,018267;0,000000;0,627402
1,680000;1,147559;0,018511;0,000000;0,635767
1,700000;1,162659;0,018754;0,000000;0,644132
1,720000;1,177758;0,018998;0,000000;0,652498
1,740000;1,192858;0,019241;0,000000;0,660863
1,760000;1,207957;0,019485;0,000000;0,669228
